CurrencyPair,Rate,AsOfDate
MWK/MAD,586.73,12/02/2020 19:15:50
ETB/KRW,173.36,04/09/2023 11:42:54
DJF/SDG,887.26,10/30/2022 09:50:01
AWG/AED,25.81,06/28/2022 20:24:00
XFU/AED,787.31,01/28/2021 09:21:10
IRR/TOP,969.00,05/25/2022 01:02:45
COP/LTL,154.35,05/28/2021 01:30:21
NIO/CRC,620.79,09/23/2022 01:36:54
RWF/MNT,385.33,03/22/2022 05:02:02
LTL/SGD,152.71,07/31/2022 01:05:43
LRD/OMR,202.28,06/07/2022 21:08:55
XBB/ANG,86.36,12/31/2020 06:36:01
ZMK/AMD,433.31,11/26/2020 10:59:09
JOD/AED,815.42,01/18/2021 12:03:57
SLL/AZN,644.67,04/25/2022 03:50:07
QAR/ZWL,118.20,06/12/2021 00:36:02
ANG/EGP,305.80,07/03/2022 13:37:49
BAM/PYG,673.49,04/03/2023 16:47:32
TWD/EGP,836.12,07/30/2022 10:17:44
GNF/XCD,498.85,10/19/2021 15:36:12
XFU/XCD,204.54,05/09/2021 16:27:47
KRW/CDF,344.08,04/12/2023 05:41:29
CVE/XBD,409.42,10/28/2022 19:27:40
AWG/NZD,852.26,05/22/2023 20:53:21
BWP/COP,901.38,09/28/2021 06:23:08
FKP/BYR,176.99,09/16/2022 07:41:50
CUP/TTD,811.77,11/06/2021 22:09:11
KHR/HUF,635.57,11/18/2021 09:09:05
CZK/AOA,243.35,02/08/2021 23:06:35
SVC/XAF,46.96,12/06/2021 05:53:24
CVE/GMD,54.31,02/10/2022 06:14:52
SGD/ALL,940.24,12/06/2022 11:31:55
TRY/MOP,679.48,02/18/2022 17:53:07
MRO/SEK,223.29,11/21/2021 18:44:19
KMF/LYD,376.28,01/16/2023 03:04:17
LBP/SCR,714.79,09/28/2021 13:58:52
LYD/MOP,693.94,11/23/2021 06:30:02
HKD/XBD,293.49,02/21/2021 20:04:00
BWP/KGS,664.17,03/07/2023 14:08:32
XBB/BDT,420.54,10/18/2022 07:50:59
COP/USD,264.45,04/19/2023 09:15:40
XDR/JMD,348.71,04/08/2023 18:57:20
XAG/GHS,627.85,07/19/2023 18:40:44
DZD/UYU,50.80,02/28/2021 20:19:56
BND/IQD,795.41,10/06/2021 18:58:39
THB/FJD,552.18,12/30/2020 21:28:38
MRO/XPD,900.69,03/12/2022 05:17:48
GEL/LKR,229.62,01/19/2021 21:22:03
LAK/BHD,769.86,12/26/2022 12:05:52
TJS/YER,652.99,02/18/2023 10:47:17
GIP/LAK,830.75,09/01/2021 08:37:01
TZS/PLN,108.71,01/25/2021 10:47:46
MYR/EGP,155.86,07/19/2023 20:08:16
SDG/JMD,688.33,08/09/2023 02:08:03
SYP/BDT,513.03,07/09/2023 17:56:49
PHP/HRK,524.40,12/22/2022 01:07:17
JOD/RUB,817.18,10/25/2022 01:33:12
TRY/HUF,161.25,04/04/2022 10:55:44
AED/UYU,317.43,09/29/2022 16:38:13
SVC/BRL,911.93,03/27/2023 07:58:40
NOK/HKD,103.22,05/13/2021 15:36:00
HNL/KES,232.07,07/31/2022 04:15:06
ZMK/PLN,256.78,11/28/2020 20:34:56
YER/MOP,513.91,10/25/2020 12:26:09
TOP/XAU,217.08,06/11/2022 17:39:26
GBP/PKR,564.04,05/07/2022 22:58:08
SGD/SVC,581.16,08/21/2021 02:27:15
LAK/LYD,915.70,10/07/2021 20:59:38
BTN/TZS,399.66,03/18/2021 04:44:10
BYR/MMK,587.72,12/07/2021 09:59:03
GMD/BYR,386.45,09/22/2022 04:59:48
SLL/ISK,262.17,02/05/2023 15:59:06
ISK/XFU,290.06,08/25/2021 03:37:02
SBD/RSD,502.49,04/10/2022 12:47:21
KPW/SEK,271.41,04/12/2021 04:58:49
PLN/TJS,375.10,06/24/2021 15:37:19
ZWL/MVR,281.49,11/18/2022 05:39:58
TRY/XCD,265.49,10/05/2021 22:57:49
SZL/CAD,336.45,04/17/2021 04:10:30
XBC/MKD,774.54,11/21/2020 19:21:03
SHP/EUR,139.09,04/13/2022 03:26:16
GIP/SYP,193.79,01/03/2023 04:41:36
SEK/SCR,340.10,01/30/2021 18:35:38
BYR/CRC,691.26,04/28/2023 17:14:54
AUD/IRR,731.01,03/25/2021 17:43:20
XBB/BMD,289.27,11/01/2020 05:21:50
XDR/JMD,760.82,06/24/2021 21:54:09
XPF/LYD,340.46,11/29/2020 09:11:13
CUC/UGX,697.44,03/03/2022 08:27:41
XFU/XDR,439.95,06/28/2022 16:05:25
GYD/EUR,175.15,02/24/2023 08:00:57
NAD/ANG,758.15,12/29/2022 16:13:36
XFU/AED,217.24,09/21/2021 02:45:55
MOP/SYP,698.13,07/30/2021 02:33:21
RUB/HTG,560.05,02/28/2021 08:26:12
KMF/NGN,8.02,02/05/2021 04:59:33
RON/NPR,123.73,04/24/2023 05:16:08
MMK/TRY,202.51,11/14/2020 21:22:18
VEF/PEN,925.54,05/09/2021 13:22:58
QAR/TRY,246.03,01/12/2023 14:51:50
JMD/TMT,685.74,11/20/2020 16:34:53
DOP/HRK,199.72,08/27/2022 16:08:03
PKR/SHP,659.76,01/19/2021 02:22:57
CZK/CUP,478.83,10/03/2020 07:04:28
XDR/CAD,107.29,09/01/2021 01:18:18
NAD/XPF,260.83,07/10/2022 00:00:08
BOB/EUR,773.86,09/05/2021 19:15:34
GNF/RON,224.24,07/30/2022 01:56:35
IQD/LTL,955.08,04/10/2021 06:23:44
MNT/MAD,334.12,04/08/2022 11:43:04
NAD/INR,362.34,08/06/2021 18:57:17
UZS/KZT,699.50,06/17/2022 02:31:38
TMT/KZT,902.75,09/19/2022 17:31:18
TRY/HRK,941.16,01/31/2023 06:12:54
VUV/AUD,451.48,10/06/2022 04:03:04
NZD/AED,628.63,03/12/2022 16:18:25
ETB/DOP,347.78,11/15/2020 05:35:57
MVR/BGN,913.13,02/14/2022 20:54:32
BGN/MYR,528.07,09/19/2021 11:38:25
XBB/KWD,799.77,07/09/2022 07:49:01
TWD/UGX,721.52,01/24/2023 20:50:11
KPW/MAD,636.10,08/04/2022 23:57:42
XPT/YER,581.35,06/11/2022 16:21:41
PAB/BIF,274.53,06/07/2023 14:38:53
