SecurityId,Quantity,MKV,ToBeDropped,FundId,AsOfDate
MSFT,970.68,933.82,d2c2e27c-eeb3-b8d8-580d-779f081efeb5,F005,11/19/2020 14:29:35
GOOGL,154.27,196.70,3a231e2d-a5bf-fcc8-8f43-212a80d167d1,F004,03/07/2023 01:55:58
GOOGL,956.29,277.47,cba3f15d-5b5b-6a28-c162-7b0fc2d4b636,F005,01/13/2022 03:59:49
FB,935.82,497.54,013aff32-f719-ce7c-b0bf-ff17d2f966f7,F004,06/07/2023 11:19:43
AMZN,127.11,156.27,b1d6e4b7-512a-3fcf-d375-e8764297612a,F003,06/12/2023 19:25:16
GOOGL,1.36,511.99,125838c1-cc02-db6e-eece-a791f4006efa,F003,11/19/2020 02:37:21
AAPL,789.93,395.06,8f38585b-fed0-a3dd-8d1c-78455333d48c,F001,07/11/2022 05:34:31
AAPL,251.23,838.21,eaf5a836-8be1-2eca-ac21-b91963dfe644,F003,02/08/2021 14:11:23
MSFT,839.45,381.27,8ab98c25-6227-aaf4-c356-59c94fafd057,F004,04/12/2022 22:48:58
AMZN,498.83,779.81,fc9c8f1b-e3cc-5fc8-1be2-0304fba24b86,F005,10/14/2021 13:31:44
AAPL,740.88,472.92,fd6cbcb4-f3eb-1718-cbe6-0ba9b2439f95,F004,05/08/2022 19:01:15
FB,548.64,975.00,40a2af17-cea2-39d3-5ce0-1a13c4478765,F005,02/18/2021 01:54:39
GOOGL,116.32,363.16,8d8ba631-f41c-1eb9-dca0-f5fd86027278,F005,03/11/2023 05:05:51
GOOGL,717.04,711.07,d6e99b8b-1ea7-33ca-dfca-6d7edce3613c,F001,01/24/2022 11:48:59
AMZN,414.74,514.35,bfe08a4f-2638-b5be-e83e-07016542f9ca,F004,02/26/2022 02:01:08
GOOGL,697.67,103.03,50706bbe-a517-d9b9-28a2-5057d1840562,F002,10/27/2020 11:04:29
AMZN,254.78,406.62,ba8d2d41-6742-0115-6339-c1f4f0c291f9,F003,09/27/2021 14:20:25
AMZN,263.21,941.56,45197a0e-d09c-2205-dc0c-7d7dd1c6868b,F001,08/11/2023 16:52:50
AAPL,691.96,388.15,43e43362-b8bb-a926-6fc2-443d4ca35ab7,F004,03/31/2023 09:56:01
AMZN,154.13,673.88,b7741481-3038-97db-f741-0255dabeee7a,F004,12/11/2020 01:02:35
GOOGL,905.47,691.16,c259fd8e-eb31-f015-468e-5d1be458ce11,F003,03/28/2022 23:00:32
MSFT,499.68,171.92,8fba0816-bcde-80b1-ca10-6ee50895fd08,F002,06/22/2023 01:51:40
AMZN,829.80,672.28,815997fb-a356-ff31-04bb-993799e660d9,F005,05/21/2022 04:06:22
FB,995.49,715.95,34e24514-369e-9a89-671c-e582b49c681d,F004,06/01/2021 09:33:44
AMZN,57.11,171.88,88d0c729-c7fd-9b20-86a7-0ba3c2d92d16,F004,02/28/2021 09:58:35
GOOGL,385.01,311.16,ffdfa229-a47b-eb2c-4082-94aaf075daa9,F004,11/20/2021 09:17:12
FB,16.16,831.92,ac4d9bb3-c8e9-f79c-f7d8-aa956b347b5f,F005,05/30/2023 14:43:49
GOOGL,985.50,179.96,8332761f-61ae-475a-067f-d5bc914971ac,F001,07/11/2022 23:10:07
MSFT,610.55,90.69,06e7e238-2479-a6e5-4ace-4717f327ee74,F003,07/24/2023 07:16:52
MSFT,657.22,168.61,25569142-9fd6-a3e8-7ce6-59c9b77b965a,F004,01/13/2021 20:38:41
AMZN,188.99,37.67,6523e0f2-9fb0-f2f0-4447-e5069a41ca10,F001,01/29/2022 02:46:11
FB,962.54,743.62,8ced2f72-6f92-6cbc-d9d2-674481feaa52,F001,06/25/2021 06:18:01
AAPL,229.73,784.28,faf4969a-7bec-3665-02e7-e03c5c09e00f,F002,09/02/2022 21:41:24
AMZN,809.44,228.57,4975e67c-a9f5-87c5-e6ca-96f4bc0374a2,F001,04/04/2021 10:12:57
AMZN,583.71,458.19,1bb03693-8083-c9e4-628c-15527a8e5966,F005,11/08/2022 09:57:56
GOOGL,585.30,242.60,d7060626-348e-4094-6646-7a9428bed9b6,F004,03/14/2023 23:59:16
MSFT,364.20,536.16,b25ff6df-fedc-0a83-8312-87b7f502b50b,F004,12/07/2022 19:16:46
AMZN,305.09,464.69,d2e75beb-0e83-69f3-8fb4-f553df30f007,F004,11/06/2020 15:24:46
MSFT,648.64,581.62,228ea06b-1919-dfc3-210d-45a4c107ca9b,F004,09/24/2020 16:19:58
FB,530.86,874.79,142ce73d-2a6f-0127-1c88-4144aceb2e22,F001,04/11/2023 02:22:42
AAPL,239.13,90.15,e6800f08-8199-9b24-122a-9ab773e462d9,F004,02/21/2023 23:32:55
GOOGL,945.43,671.77,8fbcaf1b-27a8-9788-0754-b0a57e2d46fa,F005,12/12/2021 10:04:53
AMZN,330.40,452.20,92626010-d210-8e0d-4f80-649eb164991b,F002,06/21/2022 07:56:05
AAPL,373.19,509.63,b0b6bd25-53ed-7945-dee1-df98d9e70810,F001,06/12/2021 21:46:25
AMZN,698.65,504.19,da0ea801-6a3d-8e0e-0ffc-0d786e787aca,F001,05/18/2022 08:36:10
GOOGL,768.88,850.65,6a177f0e-30bc-0655-0127-27002e7c93da,F002,05/16/2023 18:53:17
