SecurityId,Price,AsOfDate
AMZN,235.67,04/29/2023 18:00:08
FB,418.77,10/30/2022 15:50:06
FB,513.99,11/26/2020 10:30:51
AMZN,218.48,10/25/2020 09:35:34
AMZN,526.38,02/24/2023 23:49:31
MSFT,339.39,12/31/2020 20:20:53
AMZN,171.13,03/18/2023 16:01:37
FB,782.79,09/22/2020 09:02:24
AMZN,208.25,04/25/2023 20:59:45
GOOGL,99.35,03/22/2023 21:29:42
MSFT,750.07,02/08/2022 22:49:16
GOOGL,31.41,07/30/2021 05:48:37
AMZN,845.40,10/14/2022 15:03:53
MSFT,449.51,11/26/2020 11:50:59
FB,966.50,08/20/2021 00:39:06
GOOGL,244.97,03/06/2022 18:46:34
GOOGL,726.38,05/14/2023 11:14:15
FB,474.90,02/27/2023 19:16:56
FB,265.46,01/28/2023 15:40:55
AAPL,217.26,01/18/2021 00:38:37
AMZN,364.10,01/24/2023 16:27:05
MSFT,332.61,09/26/2021 03:23:31
MSFT,249.16,05/10/2021 00:50:17
GOOGL,408.85,04/26/2022 19:07:02
AMZN,988.05,11/13/2020 23:24:30
MSFT,877.50,11/09/2022 05:00:26
FB,769.66,02/23/2023 11:13:40
AMZN,763.12,11/18/2020 15:28:42
FB,354.78,12/15/2022 12:18:06
AAPL,356.53,06/08/2023 21:44:08
FB,635.93,06/25/2023 23:29:34
AMZN,657.83,08/30/2021 20:08:39
AAPL,779.92,04/12/2022 10:25:08
AMZN,367.16,05/30/2022 17:29:22
AMZN,220.12,10/28/2021 13:02:13
AMZN,755.31,02/01/2022 08:30:17
AAPL,312.05,12/19/2022 08:36:32
FB,517.64,12/22/2020 05:00:07
AMZN,680.57,09/11/2022 16:48:42
FB,859.80,05/12/2022 06:14:51
MSFT,381.55,08/14/2022 09:36:29
GOOGL,56.02,08/31/2021 10:10:51
GOOGL,491.83,04/16/2021 04:20:14
MSFT,904.64,01/19/2021 08:04:57
FB,813.29,04/29/2022 10:09:13
FB,903.69,12/09/2022 14:00:46
GOOGL,823.68,07/25/2022 16:37:46
AMZN,294.58,02/02/2022 06:13:52
FB,24.07,10/09/2022 12:34:31
FB,15.33,06/22/2022 23:44:14
AMZN,309.99,09/03/2023 17:40:26
AMZN,873.96,10/13/2020 13:41:50
AAPL,612.47,01/19/2022 23:32:38
AAPL,257.73,05/08/2022 13:04:26
AAPL,457.84,08/29/2021 22:21:58
MSFT,634.51,12/05/2021 07:02:44
MSFT,14.31,10/12/2022 22:08:15
GOOGL,339.34,11/28/2021 01:45:25
MSFT,606.78,03/03/2021 09:49:25
AAPL,779.96,12/09/2020 15:35:40
AMZN,701.85,04/19/2021 19:10:26
MSFT,670.30,04/17/2023 12:56:01
AMZN,394.39,08/13/2021 00:52:51
MSFT,592.06,10/08/2022 19:14:34
MSFT,690.37,05/09/2023 15:32:08
FB,105.20,08/21/2022 03:10:48
MSFT,394.94,06/19/2022 06:34:59
GOOGL,369.27,11/01/2020 11:16:30
AAPL,335.00,06/14/2023 04:40:30
MSFT,754.08,06/30/2022 09:11:25
AMZN,699.18,12/31/2021 23:36:33
AMZN,800.52,12/04/2021 18:15:02
MSFT,720.09,11/17/2020 08:08:55
AMZN,503.49,01/31/2023 04:53:56
MSFT,389.54,10/28/2021 04:03:22
AAPL,557.92,06/20/2023 04:18:34
FB,103.11,10/14/2021 14:46:10
AAPL,751.44,11/06/2020 19:15:40
GOOGL,551.12,01/25/2023 05:39:05
GOOGL,958.27,06/09/2022 06:04:34
FB,550.44,07/31/2023 14:26:03
FB,861.70,06/20/2023 02:26:43
FB,259.94,02/23/2021 03:21:59
FB,740.05,09/12/2022 03:27:17
AMZN,742.39,02/02/2022 07:42:22
MSFT,281.29,09/13/2022 19:26:06
MSFT,460.50,01/25/2023 02:28:21
AMZN,519.09,03/26/2022 05:23:21
AAPL,49.19,09/24/2022 12:53:22
FB,208.32,11/20/2020 19:01:53
FB,723.52,04/29/2021 20:49:34
FB,365.54,04/29/2023 10:27:40
FB,934.87,11/13/2020 09:00:11
FB,821.72,04/09/2021 08:49:57
AMZN,712.11,05/15/2021 20:50:39
AAPL,638.71,05/16/2022 22:51:52
FB,386.99,11/11/2022 07:39:32
GOOGL,399.22,09/20/2022 11:24:45
AAPL,401.14,02/10/2023 09:37:16
FB,168.36,03/06/2021 12:36:39
GOOGL,774.10,03/30/2023 23:35:01
AMZN,133.85,01/19/2022 19:54:07
GOOGL,121.82,08/30/2021 04:09:52
GOOGL,395.14,03/20/2022 01:17:22
MSFT,504.78,11/19/2020 20:28:37
AAPL,891.26,02/12/2022 15:05:32
AMZN,228.37,09/27/2022 00:51:17
AMZN,713.47,08/13/2021 15:27:53
GOOGL,361.18,04/06/2021 19:17:10
GOOGL,89.41,05/09/2021 05:58:46
MSFT,845.37,02/22/2023 01:39:07
GOOGL,498.33,08/23/2022 20:51:42
GOOGL,302.23,12/12/2020 10:24:15
MSFT,194.22,07/14/2022 19:59:08
AAPL,325.22,01/13/2022 17:01:32
GOOGL,452.97,07/12/2022 14:01:52
GOOGL,237.46,09/08/2022 20:58:05
GOOGL,702.79,05/01/2021 23:14:33
FB,602.46,01/12/2021 16:26:01
FB,423.59,01/03/2021 17:59:27
MSFT,775.28,12/31/2022 05:32:48
AAPL,80.00,06/16/2023 05:44:07
AAPL,520.03,03/01/2023 03:21:34
FB,919.00,11/11/2021 12:38:49
AMZN,408.12,07/26/2023 17:36:22
GOOGL,175.20,08/17/2022 12:44:57
MSFT,239.14,05/23/2023 14:29:39
GOOGL,940.99,02/19/2023 22:18:07
AMZN,360.28,05/10/2023 20:29:56
AAPL,570.93,02/24/2022 02:21:02
FB,37.87,11/14/2021 20:51:41
MSFT,189.25,03/29/2021 14:29:39
GOOGL,80.52,11/30/2021 00:31:40
AMZN,430.33,01/19/2023 08:11:58
AMZN,542.63,05/06/2021 03:51:33
GOOGL,52.01,03/16/2023 12:08:31
MSFT,607.46,04/13/2023 21:28:32
MSFT,794.06,02/26/2022 19:06:53
AAPL,776.75,01/04/2023 22:14:42
AMZN,126.28,07/04/2021 10:10:03
AMZN,680.90,03/02/2021 14:59:07
AMZN,982.56,03/28/2021 12:30:32
FB,177.19,03/14/2023 19:00:57
FB,768.27,06/05/2022 09:57:42
GOOGL,779.52,10/28/2022 02:37:38
AAPL,567.53,05/06/2021 04:12:23
AMZN,808.38,01/04/2021 02:05:27
GOOGL,551.08,02/08/2021 08:15:28
AAPL,836.79,11/11/2022 11:52:28
AAPL,542.37,02/06/2021 21:45:11
MSFT,717.73,11/15/2022 14:17:38
MSFT,410.92,03/22/2021 12:14:27
AMZN,891.72,09/20/2020 02:25:46
GOOGL,771.28,01/17/2022 17:34:13
AAPL,497.50,11/15/2022 23:00:28
AMZN,777.60,10/12/2022 09:35:53
AAPL,625.15,03/27/2023 22:18:06
AAPL,260.56,06/15/2023 23:11:15
GOOGL,175.03,04/19/2022 16:20:17
AAPL,966.87,04/14/2022 12:40:10
AMZN,925.80,10/30/2020 17:43:54
GOOGL,809.47,07/20/2021 07:38:00
AMZN,657.92,03/27/2021 18:11:27
AAPL,104.80,05/23/2021 00:46:50
MSFT,894.87,07/21/2023 14:10:53
GOOGL,988.59,06/24/2021 15:33:04
AAPL,350.86,03/12/2021 09:01:43
GOOGL,583.91,03/29/2022 05:52:38
AMZN,57.33,07/08/2022 22:50:03
GOOGL,776.38,05/11/2023 22:51:34
FB,959.04,08/02/2021 05:28:32
AMZN,459.00,12/27/2020 11:27:16
FB,73.12,09/06/2022 14:25:00
GOOGL,172.29,02/05/2022 08:05:29
FB,877.77,06/28/2021 04:59:41
GOOGL,171.79,03/09/2023 19:14:53
FB,443.21,03/08/2021 00:54:34
AMZN,293.51,10/17/2020 13:03:34
GOOGL,868.18,05/07/2022 05:27:08
AMZN,788.96,09/04/2023 19:34:14
MSFT,296.06,10/30/2020 02:55:00
GOOGL,910.98,09/23/2021 19:36:43
AMZN,533.47,02/27/2021 10:17:28
FB,639.23,10/17/2021 10:33:03
GOOGL,498.13,06/23/2022 05:17:19
AMZN,312.95,07/09/2021 10:50:06
AAPL,426.12,06/19/2021 17:26:38
MSFT,308.02,04/29/2021 23:39:25
FB,662.36,06/20/2021 12:38:56
GOOGL,955.55,05/28/2022 22:43:49
FB,371.46,09/26/2022 04:27:02
AMZN,262.14,03/05/2023 18:42:52
AMZN,481.74,03/31/2023 22:11:34
AAPL,199.99,07/22/2022 11:22:16
MSFT,783.29,05/03/2023 00:59:25
AMZN,957.22,09/11/2023 08:53:49
MSFT,457.74,12/11/2022 12:52:39
FB,960.57,09/29/2020 05:15:36
AMZN,82.85,01/03/2022 22:34:31
FB,291.73,03/22/2021 19:07:12
FB,774.65,02/06/2022 05:00:38
FB,349.39,01/01/2022 09:11:02
MSFT,906.75,02/14/2022 00:27:30
AMZN,935.19,09/08/2021 22:05:30
AAPL,65.97,06/26/2022 15:59:51
FB,667.27,07/20/2021 01:31:27
FB,127.61,08/28/2023 10:02:26
AMZN,606.73,04/14/2021 15:19:29
GOOGL,582.37,10/04/2020 22:09:15
FB,350.38,12/01/2022 21:55:29
AMZN,457.86,01/10/2022 23:34:36
FB,978.61,11/27/2022 17:14:51
AMZN,833.97,09/26/2021 18:08:14
AAPL,734.64,06/01/2021 07:09:13
FB,412.47,03/27/2023 21:54:08
MSFT,30.53,01/31/2021 08:13:24
AMZN,469.92,08/05/2021 11:54:42
GOOGL,222.31,08/25/2022 17:08:36
FB,447.50,08/25/2021 23:56:50
FB,685.28,07/28/2021 01:09:52
GOOGL,701.97,09/02/2021 20:11:36
AAPL,741.94,01/24/2022 02:36:28
MSFT,22.92,06/14/2022 13:41:51
AAPL,515.36,01/10/2022 22:42:45
AAPL,729.60,07/04/2021 08:36:36
FB,976.52,04/20/2021 22:25:44
AAPL,398.50,10/17/2022 17:44:43
MSFT,230.59,07/05/2022 09:24:28
GOOGL,115.04,12/25/2021 18:36:25
MSFT,32.22,05/28/2021 05:06:24
MSFT,572.42,04/05/2021 18:13:01
AMZN,301.82,03/16/2023 20:58:04
FB,116.66,09/11/2022 19:47:32
GOOGL,780.72,05/22/2022 06:08:39
AAPL,114.15,10/26/2020 03:32:58
FB,315.97,08/26/2021 18:58:50
MSFT,821.55,06/25/2023 08:47:34
AAPL,141.41,05/14/2023 07:20:54
AAPL,690.88,03/29/2023 18:08:44
GOOGL,364.81,04/29/2023 10:39:43
AMZN,449.77,06/09/2021 04:25:21
MSFT,799.60,07/31/2021 13:32:32
GOOGL,691.32,09/28/2022 05:01:04
AAPL,226.09,02/27/2022 05:59:32
AMZN,114.43,08/16/2022 21:45:55
FB,789.50,09/22/2022 04:36:28
GOOGL,751.75,05/31/2022 17:03:35
GOOGL,229.70,01/17/2021 21:08:27
FB,801.86,08/30/2022 00:22:57
AAPL,219.50,12/30/2021 00:01:32
MSFT,914.31,05/05/2023 13:15:29
GOOGL,666.54,09/18/2022 04:02:04
GOOGL,190.37,02/09/2022 11:09:53
GOOGL,238.71,04/04/2022 05:22:16
GOOGL,328.07,07/07/2022 06:08:16
FB,287.31,03/19/2023 21:35:28
AMZN,421.12,05/16/2022 22:07:12
GOOGL,179.35,08/05/2022 05:26:52
AAPL,197.76,09/20/2022 01:43:27
MSFT,415.81,04/14/2022 23:20:01
GOOGL,871.80,06/14/2021 14:05:05
MSFT,155.96,11/23/2020 20:30:46
MSFT,629.78,01/04/2021 07:55:17
AMZN,80.06,05/31/2021 21:29:21
FB,996.06,06/08/2021 10:57:55
AMZN,13.54,09/01/2022 19:50:17
GOOGL,616.67,09/04/2022 19:21:54
AMZN,860.38,03/27/2022 07:17:15
FB,873.59,07/19/2022 06:11:21
GOOGL,641.66,05/24/2023 13:34:14
FB,669.67,01/27/2022 11:33:21
GOOGL,487.39,10/15/2022 11:30:33
AAPL,641.34,06/22/2022 20:30:16
FB,549.15,10/11/2021 13:51:00
AMZN,359.65,11/14/2021 01:39:08
FB,200.29,01/01/2021 03:05:23
MSFT,472.38,02/10/2021 00:01:36
MSFT,871.77,02/28/2022 19:42:34
FB,760.10,08/07/2022 16:46:26
GOOGL,205.20,01/28/2022 11:24:46
AAPL,115.62,05/21/2023 13:09:54
FB,881.35,02/03/2023 01:53:49
AAPL,665.03,09/22/2020 02:24:15
FB,730.58,05/12/2023 18:58:01
AAPL,162.06,09/04/2022 06:11:51
FB,948.59,04/20/2022 17:09:13
FB,254.26,01/06/2023 04:35:46
AAPL,841.17,05/01/2021 11:38:23
AMZN,550.16,11/08/2022 22:26:51
GOOGL,906.90,07/27/2023 16:51:02
FB,92.41,07/25/2023 08:33:24
FB,672.73,05/07/2022 20:39:22
FB,248.48,02/17/2023 08:29:02
AMZN,89.13,10/23/2021 13:26:58
MSFT,371.53,07/10/2021 17:37:36
FB,290.89,07/03/2023 04:05:39
