TransactionId,SecurityId,Quantity,ToBeDropped,TransactionType,FundId,AsOfDate
b33d7774-2c90-6f63-a56c-52e362ff2440,MSFT,800.98,cafd0809-75da-b729-3796-0b1a2d9f97e8,Sell,F002,05/04/2023 13:10:21
930a31d9-e368-5d55-fbf7-2e9c8f268de5,GOOGL,373.85,975a6b54-3429-acd0-20a1-10f3a035bc8e,Sell,F003,07/01/2023 05:38:25
39e15485-d5da-35c4-227f-7b2572a73de6,GOOGL,112.06,2752089f-6ae0-045a-f886-3278e1e10e0d,Buy,F005,05/04/2021 18:54:12
97ad69d8-d76f-9604-22a8-67426e7bedd0,GOOGL,786.81,c8ff526b-4310-7c10-16d5-94f793a32929,Buy,F002,04/11/2023 13:14:23
fbe79190-7f69-3307-a139-b8191084c11a,AAPL,152.69,d2435c7b-dbc5-9925-f7d2-521125c534c2,Buy,F002,11/15/2020 10:26:02
a0a4c468-7e29-71bf-6986-6b3e48df0196,FB,458.24,62e60473-c062-32f3-3d27-9a75780d5fef,Buy,F004,08/04/2021 15:21:16
567aebff-2130-a5a7-11ff-135f3a45df7e,MSFT,706.61,d885b29e-e616-1da3-8dc0-05357e6773f0,Buy,F004,03/03/2023 10:44:19
9ba9f4fc-4903-3b63-e0b3-2b31cb57ba83,MSFT,997.79,66bef9ee-42d4-12a4-2be6-acc58ecf170a,Sell,F003,11/19/2022 20:39:16
f87b047c-97ca-5143-9be8-ac25f4a4ef96,GOOGL,746.00,6e6f20db-8dbc-b693-0089-bcf1a292c303,Sell,F005,11/07/2022 08:54:54
68893fa6-d717-1b0f-5031-3cc43cbc9f0a,MSFT,197.78,e01c0be9-7226-15a9-a34f-3f38b95ac814,Buy,F004,12/07/2021 07:50:49
8b145775-a6b5-ea7c-0689-191d404e06e9,AMZN,936.28,c2b37d66-d3d7-6c72-19ef-249eb75b5cdf,Buy,F001,06/20/2022 10:50:05
770fe7bf-4e28-33b5-f6fe-4ad18b8a7707,FB,77.39,be839882-756c-6d2b-4efe-01877dfac215,Buy,F005,09/09/2021 16:05:57
c10be7a1-3783-addd-40ca-c9fd539bb747,GOOGL,275.96,8bd36c63-b50f-d433-f529-03dd35237a40,Buy,F003,12/08/2022 07:17:31
b1492ede-849e-13d5-d46f-1a2b880bce9e,AMZN,163.62,a4f556db-d157-846d-7a50-7a493d19f896,Buy,F003,06/26/2022 08:08:26
2e4f1d4b-2ba9-3f5d-7752-fe3fbdf114ef,FB,149.88,aa1607b7-d915-0f4a-3cad-8e6a22c74655,Sell,F002,04/16/2023 01:30:58
a6168771-8e28-aaf3-068a-4cb60ee660c2,AMZN,377.18,62025af9-aab7-0a1b-bb10-b48b6a2cc3f4,Buy,F004,08/19/2021 04:05:01
d00b3804-d78f-448d-0c99-2cec481c803b,AAPL,225.84,eace7091-cf39-608d-4aca-e64edc696fbe,Sell,F003,01/16/2021 04:49:49
18565154-c593-ad0c-a572-d48797ce3c7c,MSFT,700.40,b2f5a85c-1910-77b1-fef2-07c369696b5b,Buy,F001,02/06/2022 17:28:31
e1ca1c9e-ae56-364c-370a-bec784e6e149,MSFT,30.44,56175f54-8386-7f7e-9f41-0e3f7957c550,Buy,F004,01/21/2023 15:44:57
65579cd0-67d9-16b9-e495-ee2a6caa54c0,MSFT,988.15,661a9b51-b7b6-5f53-30d8-e117f1cc49fd,Buy,F004,05/31/2023 16:53:16
69df1f3b-9058-b6d1-8248-63bc5f73a48a,AAPL,281.58,a038ab40-9fa7-e634-64e1-a44afa38d819,Buy,F004,01/23/2023 09:15:46
9bc1f480-e695-0261-ae1a-2902206233b9,AMZN,835.46,35875a21-fae6-66e4-e7f4-42d9ad587b56,Buy,F003,11/14/2022 07:38:24
48319b90-848c-f577-d7de-a05a0c14f4ca,GOOGL,711.49,5e51848c-9b20-6428-dc97-d4b71f155051,Sell,F004,06/20/2021 08:21:03
ab5e7e84-fd7e-db0d-4003-88dcbb719cb6,MSFT,920.74,1fdc54da-bd86-2cc6-902b-9ca3a1f5a610,Sell,F003,06/26/2022 09:29:30
cf8fa751-898d-1d30-68c0-d05f5d7072e7,FB,397.37,65328bf0-7879-e093-0bc1-d24ec1b1fc37,Buy,F004,07/06/2022 16:29:02
67d8b966-fa75-eb1e-d3d4-ac654f2245b1,GOOGL,617.11,e008a362-921b-320b-0d45-80aa59802d68,Sell,F002,12/29/2021 19:36:11
f6255966-6386-d24d-6bd7-3dedcf5ccb43,AMZN,265.04,babc996c-9113-68ab-ea3d-2164b20df04d,Sell,F001,03/21/2021 13:10:03
16839ade-2513-e37e-ad9c-4dc75fcd3098,AAPL,408.71,3195115d-5b44-b258-12d2-f26709159848,Buy,F001,09/15/2020 09:34:14
7844a0b4-d62e-49d3-6edb-11cb1aabf851,FB,717.75,ee14936a-bbc6-0ec8-dcfd-ef9103a2d299,Sell,F004,02/28/2022 04:09:29
4bd92b90-7578-a279-d46c-305b5120bb1d,AMZN,321.59,4193438c-3a50-3487-c827-604875f3df4d,Sell,F003,03/18/2022 06:09:07
3bb4b2d6-6daa-8fda-792a-d669f38f5256,FB,532.40,a7144f18-a33e-7028-0cd5-53341362e19a,Sell,F004,06/22/2023 06:07:09
5555031e-f047-c3e8-1eac-ab8aea64b183,FB,527.20,ff548b9b-8ad3-e8aa-ade9-3262dc011b75,Buy,F001,01/30/2023 00:02:16
dde1cd6e-aac2-b27e-008e-7c17c1e64a1f,MSFT,489.45,8d65ec37-65bb-0418-a74e-4e6a3da2d6b3,Buy,F001,02/11/2022 19:57:58
052513d1-fa69-4477-179d-5f7ec9736d46,GOOGL,592.60,317948e0-298c-3570-ea73-8d579ccfb17b,Buy,F005,10/02/2021 04:11:32
88b47776-6cb4-6321-b149-dea1406502d9,GOOGL,667.80,cb065c8d-8a15-3748-fefc-d8d1b38753db,Buy,F004,12/06/2020 20:02:07
f1c3458e-76c0-e223-8a44-9083f423a687,AAPL,837.20,824a1da0-89ae-135e-85ee-80e52c7f868f,Sell,F001,12/17/2021 02:41:10
6923eb6d-a92e-2807-0e59-3a9c2ac638a0,GOOGL,670.50,ed33b631-adbe-7b15-3f46-a1d50548a884,Buy,F003,11/25/2020 19:43:39
45a8cf69-66a0-c549-8a39-978db6d3be38,AAPL,747.92,c37104a7-905e-d77d-9c6a-cb89e3e4c821,Buy,F001,07/22/2021 12:09:21
728ce2f6-0290-43bb-f97b-34e89536db13,GOOGL,862.15,51bf09d2-798d-91e9-0d02-d961c4b761ed,Sell,F004,04/10/2021 18:16:27
35901d94-ad79-fe82-9dc1-ab81998c4f99,AAPL,27.82,b859e0ad-0224-3d7b-7b89-ddfa467afc4d,Sell,F002,02/25/2022 06:09:43
0265dc3b-1f7f-bb64-735a-11c2d34a4a7a,AAPL,75.55,d9bd87f1-67f5-b32b-17ac-88ae35e1fed7,Buy,F003,10/11/2020 12:07:55
0bc0e46d-1469-b3d4-88fb-80ab5990e71b,AAPL,596.30,3eabd7cf-33bf-406b-7d52-17d2df02b46f,Sell,F002,01/10/2021 17:43:25
c79938a8-9954-2688-1d25-966a340119eb,MSFT,15.50,c6a0f4ca-e6f3-a00c-5a18-68fe1eb9d75c,Sell,F004,03/24/2023 08:57:13
f0ba21bb-3410-d12b-37da-10446a590fa3,AMZN,770.50,70cbbc57-e7c5-71f0-8fe5-9e291e66fe4d,Buy,F002,09/13/2022 00:53:22
7efa4245-3306-4ce6-229b-c2b0c40f7d21,FB,413.06,036472d8-a0c1-74ba-6d24-e043bc470bd5,Sell,F001,12/23/2022 15:51:58
f92bc7c4-675e-2705-6152-38d112b884f8,AMZN,207.97,66b2a0e8-5831-1de5-f60d-49f39d7789ef,Buy,F005,11/09/2021 22:18:10
a46e43f7-fe2c-540b-998e-b0197c7590fc,AAPL,233.11,684669a2-da8d-7a93-793a-1a92b0a39816,Buy,F004,01/14/2021 07:09:28
1e959ab5-8c8d-9b94-0e8b-176028971556,MSFT,437.69,03d63a44-b52b-e89d-2230-8649050f8013,Buy,F001,06/30/2021 10:23:40
a5bb021b-fa1a-87dd-3e47-622ed439c07e,GOOGL,679.40,e43494bc-7b36-7e3a-4d61-c6c0ac0f19b4,Sell,F003,10/28/2021 20:43:21
ce4414f0-2dda-e186-58bf-b06dbb6f2f3b,FB,385.51,8201f71c-765e-7972-4b12-70aa3f1a676c,Buy,F005,12/08/2020 09:29:08
81c1f6ae-7e42-cc2e-f8e8-1ac9e02cf299,GOOGL,427.35,79830a02-3ef1-bdef-a9e7-d9397cd8487b,Buy,F003,08/11/2023 14:39:02
be0f46e2-d442-1aa6-4d3a-db1b873ed165,AAPL,31.54,9bb5b1c7-50dd-37b8-eeb6-1f7d6338af40,Buy,F003,11/15/2020 17:10:50
10404da9-129f-b570-17f7-26fbd9e8784a,MSFT,491.15,0d738bbd-5252-e64c-396a-ee1d042f8e3e,Sell,F001,09/08/2022 06:17:46
d8cbb007-3766-aaf0-5a29-0cfef812afe2,MSFT,493.10,b4d66b79-9005-481d-23c5-d15277ffbe2b,Buy,F004,05/21/2023 14:51:47
f7540ca0-b4ea-6b8b-4cce-d0b16d65f3ed,FB,158.63,c6c76ca4-6a14-3743-5547-a9d6de55acd1,Sell,F002,12/11/2022 01:46:40
df604a50-585d-45ad-7ebf-cf219cda0213,MSFT,689.71,fe467d3b-dbe6-d251-d11e-813505f9d296,Sell,F003,03/20/2022 22:53:36
562035be-085d-498d-5219-179cf484de11,FB,508.17,26db2cda-4f19-2d4d-dbc2-a2c18d31e376,Sell,F005,01/04/2021 20:23:24
a1df102b-7df6-d02d-2279-29877e2c1b92,GOOGL,869.11,34da14e7-7ffa-94f5-a325-797d06272844,Sell,F004,09/30/2021 14:12:25
b5c7f71e-ed88-9f44-4f63-bd50b0e3bae7,MSFT,26.43,38bd1ff4-2558-66d8-c132-c309b2b7fc63,Buy,F001,01/29/2023 11:34:57
281c4b29-8bcb-a912-d04d-a0afd22557d4,GOOGL,189.90,cb9f1b5a-518c-a958-8af8-7008d6763aa1,Sell,F004,08/09/2022 00:21:58
d9402ad5-3108-acf1-0783-65ef268eb6ba,GOOGL,122.18,901b9bf1-7384-14ec-1bf0-3470125f4aa8,Buy,F005,08/16/2023 00:02:44
b6b6f9b9-970f-cf57-8239-41672bae127e,AAPL,359.24,da116349-8ad5-f228-f751-0e968157024c,Sell,F001,11/26/2021 20:51:04
d473b3b3-e0ec-a4d5-48a4-6044b1cbc9d9,AMZN,80.99,a01c9a7b-54db-affa-c930-afa756aa4953,Sell,F004,05/13/2021 00:15:29
27e2785e-baea-67a5-d3d3-76f827e22a0f,GOOGL,713.41,f795784c-1343-0abe-fec1-fdcfec7e15ff,Sell,F002,04/24/2021 02:52:17
29a6fbda-ae77-799d-5a21-1ac7eb9984d7,FB,980.62,e9d5d54e-8d6d-0d55-7c4d-0ae114892b69,Sell,F005,03/24/2023 18:08:17
f5cf25df-e0f3-9d09-a041-4ad7a26552b2,GOOGL,484.17,2b93600a-b54f-59ac-a68a-df1d73c919ed,Buy,F004,07/03/2022 15:00:02
2d9f8597-fe63-43eb-766f-57f0dc8bae3e,GOOGL,111.28,78013f96-f683-6aed-ea9b-a8b7ea82a27e,Buy,F003,11/10/2022 21:29:06
3d1000f6-4bd5-79ff-c9f0-6806386a4080,MSFT,839.32,44d97ced-b880-8ecb-9ec5-ffad41ad2d68,Sell,F001,02/05/2023 13:05:33
a701dfc0-9860-4824-b5f0-a9c08411febe,GOOGL,678.24,0edd28bf-ca71-52a1-7dc1-95863f6451b4,Buy,F001,01/23/2021 14:28:00
4912c91b-1ae9-7632-fc19-233eb0618503,AMZN,149.72,f9877675-121d-da7f-210e-fd9e2e4934b0,Buy,F001,06/17/2021 04:05:39
56e888f8-05a2-d0f2-f23b-01cd487b5246,GOOGL,106.33,3170782a-6676-b21f-98c3-eaef15fdc969,Buy,F001,09/01/2022 04:32:08
d0038457-c81f-f79e-692b-39411de25b19,AAPL,527.11,60e8ac1b-f7e2-20ee-449a-5b445add74f6,Sell,F002,09/08/2023 23:17:13
418a6e09-ae15-c66a-b7bb-df2c9ec830bc,AAPL,555.22,08a7a397-5815-c6f1-bb56-ae731baa6ee0,Sell,F003,01/30/2021 14:14:36
681614b4-1653-c7bc-1992-9c016ba1070a,MSFT,413.18,2517d73a-9f93-f18c-efd3-b53caa5558e8,Buy,F004,01/31/2023 22:52:49
