SecurityId,AsOfDate,FundId,Quantity,MarketValue
AMAZON,10/11/2022 05:52:21,Fund3,756,1691.9448943689194
GOOGLE,11/14/2022 05:52:21,Fund2,520,1706.1171571555637
AMAZON,04/12/2024 05:52:21,Fund3,213,3140.2998221491625
AMAZON,12/27/2023 05:52:21,Fund2,733,3017.6777515695735
MICROSOFT,09/25/2022 05:52:21,Fund2,429,1202.8180294100964
GOOGLE,03/08/2024 05:52:21,Fund1,328,6161.878325002405
AMAZON,03/17/2024 05:52:21,Fund3,192,4147.288214232608
APPLE,07/23/2024 05:52:21,Fund1,55,9014.063365847667
FACEBOOK,11/09/2023 05:52:21,Fund3,24,6762.372984410907
FACEBOOK,09/21/2022 05:52:21,Fund5,426,3904.50414243979
AMAZON,05/15/2024 05:52:21,Fund1,379,3646.657606251296
AMAZON,10/14/2023 05:52:21,Fund1,592,5237.681231685967
FACEBOOK,12/14/2022 05:52:21,Fund4,355,7416.224720203827
MICROSOFT,04/17/2023 05:52:21,Fund1,506,5627.696423464345
APPLE,12/16/2022 05:52:21,Fund4,910,1226.7033140362662
FACEBOOK,04/02/2023 05:52:21,Fund1,56,3713.675302286368
AMAZON,09/05/2024 05:52:21,Fund1,773,9119.002335484478
GOOGLE,05/12/2024 05:52:21,Fund5,58,8580.507479236958
FACEBOOK,03/02/2024 05:52:21,Fund5,467,6379.1395798705025
GOOGLE,07/08/2024 05:52:21,Fund1,78,4965.862457560709
GOOGLE,11/26/2023 05:52:21,Fund3,874,4469.143377959971
AMAZON,02/14/2024 05:52:21,Fund2,257,6223.334850062596
GOOGLE,07/31/2023 05:52:21,Fund2,105,3703.193558084319
FACEBOOK,01/03/2023 05:52:21,Fund2,859,980.0765367851553
MICROSOFT,01/18/2023 05:52:21,Fund4,546,7472.060298966009
GOOGLE,10/12/2023 05:52:21,Fund4,873,1077.7268571189593
APPLE,11/21/2022 05:52:21,Fund2,383,6070.8677604075765
MICROSOFT,02/28/2024 05:52:21,Fund4,631,3348.3640509795396
GOOGLE,08/11/2023 05:52:21,Fund4,630,2116.988080982233
APPLE,11/03/2023 05:52:21,Fund1,554,5021.019016110483
GOOGLE,01/15/2024 05:52:21,Fund5,227,9492.934715830002
AMAZON,03/20/2023 05:52:21,Fund3,681,1663.9675604878878
MICROSOFT,06/23/2024 05:52:21,Fund4,779,6933.29446654694
AMAZON,06/03/2024 05:52:21,Fund5,843,6385.691599756391
FACEBOOK,08/20/2024 05:52:21,Fund1,409,3636.7858876561563
AMAZON,06/03/2023 05:52:21,Fund4,106,1112.198261997672
FACEBOOK,09/18/2022 05:52:21,Fund4,742,3293.983918783875
FACEBOOK,05/09/2024 05:52:21,Fund1,579,6967.257930635376
GOOGLE,09/19/2022 05:52:21,Fund1,79,1229.9982609672013
GOOGLE,09/04/2024 05:52:21,Fund4,250,3463.6363698376194
FACEBOOK,11/02/2022 05:52:21,Fund5,661,9028.926503035476
MICROSOFT,01/23/2023 05:52:21,Fund3,386,5935.570613470503
AMAZON,12/04/2023 05:52:21,Fund2,897,3988.1294526750653
AMAZON,08/30/2023 05:52:21,Fund5,575,6486.915153976061
FACEBOOK,05/22/2024 05:52:21,Fund1,86,1529.156028989939
FACEBOOK,03/11/2023 05:52:21,Fund3,520,8191.904777159162
FACEBOOK,08/09/2023 05:52:21,Fund3,253,6088.571938563211
FACEBOOK,11/25/2022 05:52:21,Fund3,199,7526.264146238508
FACEBOOK,08/21/2024 05:52:21,Fund3,691,6175.113480615859
APPLE,08/12/2024 05:52:21,Fund2,607,7437.35719792914
AMAZON,12/05/2023 05:52:21,Fund5,87,5975.1172705754325
FACEBOOK,05/13/2023 05:52:21,Fund1,734,6123.595193252074
FACEBOOK,03/20/2023 05:52:21,Fund4,536,3559.5348832619584
AMAZON,07/27/2023 05:52:21,Fund2,132,2928.0085108909325
MICROSOFT,03/01/2024 05:52:21,Fund2,100,4147.548244384047
FACEBOOK,03/26/2024 05:52:21,Fund4,498,5160.522539695106
MICROSOFT,05/13/2024 05:52:21,Fund4,262,6759.240119116658
AMAZON,11/03/2023 05:52:21,Fund5,868,5541.246541461439
GOOGLE,02/17/2024 05:52:21,Fund4,636,2392.47410699302
MICROSOFT,09/11/2023 05:52:21,Fund4,137,2528.4069911701126
APPLE,02/26/2024 05:52:21,Fund1,589,9403.60173490143
APPLE,05/27/2024 05:52:21,Fund5,758,6636.255521392024
FACEBOOK,06/10/2024 05:52:21,Fund1,950,8151.705091816168
AMAZON,08/01/2023 05:52:21,Fund2,379,7426.3479186838795
AMAZON,09/08/2024 05:52:21,Fund2,302,5741.556699410947
MICROSOFT,03/18/2023 05:52:21,Fund2,693,7376.026989335425
MICROSOFT,11/15/2023 05:52:21,Fund1,132,3110.6065779031196
AMAZON,04/06/2023 05:52:21,Fund1,595,9825.084030641478
FACEBOOK,12/10/2022 05:52:21,Fund1,737,200.1468405634982
APPLE,03/27/2023 05:52:21,Fund5,473,2897.8317166627576
