SecurityId,AsOfDate,FundId,Quantity,MarketValue
FACEBOOK,06/14/2023,Fund4,688,9828.717482786027
AMAZON,07/25/2023,Fund3,328,1729.8362320161064
AMAZON,11/06/2022,Fund1,459,4621.1561122337125
GOOGLE,01/11/2023,Fund1,807,3252.248075934208
GOOGLE,12/22/2022,Fund5,574,4426.6577229061495
FACEBOOK,09/08/2023,Fund5,807,9875.24798070496
AMAZON,04/30/2024,Fund2,739,4165.464868202688
APPLE,10/28/2023,Fund5,365,5473.70173436838
GOOGLE,12/07/2023,Fund2,122,1271.2331230617392
AMAZON,08/20/2024,Fund3,251,6502.218171520461
GOOGLE,02/14/2024,Fund4,859,4947.422612515842
APPLE,10/14/2022,Fund1,959,3364.502131772124
GOOGLE,10/06/2023,Fund4,223,6665.340083690371
APPLE,02/27/2024,Fund2,772,4313.147680170612
FACEBOOK,09/03/2024,Fund1,428,1009.8627838296003
GOOGLE,05/06/2023,Fund3,46,6127.135805078035
FACEBOOK,06/26/2024,Fund4,735,6952.795020667719
APPLE,07/31/2024,Fund5,870,2059.2619500788996
GOOGLE,12/17/2023,Fund2,728,7843.786288858152
MICROSOFT,04/28/2024,Fund3,515,1338.8480292666152
FACEBOOK,02/21/2023,Fund3,756,3041.953880563645
GOOGLE,03/31/2024,Fund1,344,5271.403941932493
FACEBOOK,06/24/2023,Fund3,695,6723.460749582682
MICROSOFT,07/27/2023,Fund4,436,6053.85359142762
MICROSOFT,08/27/2024,Fund5,270,2127.4698713547155
MICROSOFT,06/14/2024,Fund5,560,5913.64313053966
MICROSOFT,11/07/2022,Fund2,609,9104.010329955747
FACEBOOK,04/04/2024,Fund4,480,5039.896337067465
FACEBOOK,04/06/2023,Fund1,786,2170.141288013459
MICROSOFT,07/18/2023,Fund1,412,5028.722911447247
MICROSOFT,12/29/2023,Fund3,200,189.1532910848076
AMAZON,02/26/2023,Fund3,909,2403.1610474557283
AMAZON,03/04/2023,Fund3,516,6421.153402624457
AMAZON,04/05/2024,Fund4,328,9193.066231521028
APPLE,12/20/2022,Fund4,126,8957.091040497602
FACEBOOK,11/13/2022,Fund4,110,3500.9485240384724
AMAZON,12/16/2022,Fund1,557,7788.328181688579
GOOGLE,03/25/2024,Fund4,626,5866.110169356735
APPLE,12/31/2023,Fund5,384,4026.8887014787856
GOOGLE,06/27/2024,Fund2,723,1781.5222354341138
APPLE,05/18/2024,Fund2,252,506.890187159418
AMAZON,06/26/2024,Fund3,594,8693.639420153395
FACEBOOK,10/20/2023,Fund2,558,8353.29243651541
AMAZON,07/20/2024,Fund3,346,4540.058601880659
GOOGLE,03/30/2023,Fund1,788,4888.216906595426
APPLE,01/12/2024,Fund4,785,3300.3697367022173
APPLE,04/17/2023,Fund5,367,1204.0918988188723
GOOGLE,10/20/2023,Fund2,582,5218.5379600891
GOOGLE,04/18/2023,Fund4,53,5097.04378190942
AMAZON,04/30/2023,Fund3,391,2654.1572466576354
APPLE,07/09/2023,Fund5,634,4472.461424251853
APPLE,01/19/2023,Fund1,837,3658.2434625493465
APPLE,02/08/2024,Fund1,800,8555.390681698578
AMAZON,03/16/2023,Fund2,954,8313.242741616683
GOOGLE,05/27/2023,Fund2,827,7493.203876170313
AMAZON,07/05/2023,Fund5,330,6706.8158978620395
GOOGLE,08/01/2023,Fund3,210,519.6663000222478
FACEBOOK,01/25/2023,Fund3,916,9823.883876050468
AMAZON,06/18/2024,Fund3,11,2709.567313751645
MICROSOFT,12/18/2022,Fund3,414,228.78092970052276
APPLE,09/27/2022,Fund4,215,2259.595179091533
FACEBOOK,12/03/2022,Fund1,310,2190.7222767787266
MICROSOFT,11/03/2023,Fund1,484,4286.968591147443
APPLE,02/09/2023,Fund2,410,2606.8415170928383
AMAZON,02/14/2023,Fund4,779,4517.965460566522
AMAZON,11/07/2023,Fund5,700,7584.097530893431
APPLE,11/04/2022,Fund5,295,1164.976252235925
AMAZON,06/02/2023,Fund5,752,8208.232503128402
APPLE,11/04/2022,Fund5,921,3561.4130748088455
MICROSOFT,01/09/2024,Fund3,458,4937.637478274403
MICROSOFT,01/11/2023,Fund1,327,9519.833267563261
MICROSOFT,05/16/2024,Fund2,856,3949.77477040377
MICROSOFT,07/01/2024,Fund5,284,1600.501112496947
MICROSOFT,03/28/2024,Fund4,909,2370.203651540422
FACEBOOK,03/20/2024,Fund4,854,7751.071570959875
APPLE,06/16/2023,Fund1,891,2366.0494509977257
MICROSOFT,04/24/2024,Fund1,797,7487.390284054267
AMAZON,03/07/2024,Fund3,995,687.5938496564229
MICROSOFT,02/16/2024,Fund3,868,3632.675101706833
APPLE,02/12/2023,Fund1,646,2099.1435805109836
APPLE,09/15/2023,Fund3,414,5626.036000792241
MICROSOFT,10/09/2022,Fund4,210,1597.3485765957676
APPLE,05/17/2024,Fund2,959,3210.4668295130496
GOOGLE,09/07/2023,Fund5,857,9459.564124187365
APPLE,09/26/2022,Fund5,563,372.08804308177645
APPLE,09/18/2023,Fund2,985,7436.274950375064
APPLE,04/30/2023,Fund4,924,4518.7277308046005
AMAZON,03/25/2023,Fund3,75,7542.555252428708
MICROSOFT,04/12/2023,Fund5,47,6089.397263417115
MICROSOFT,10/04/2023,Fund5,66,706.8576306022738
AMAZON,08/12/2024,Fund3,235,6768.222010077612
AMAZON,01/13/2023,Fund2,106,313.27531981014005
GOOGLE,06/19/2023,Fund2,895,121.68837884484834
MICROSOFT,07/19/2023,Fund5,18,6600.933658997042
AMAZON,09/24/2022,Fund2,664,7967.560423740623
AMAZON,10/19/2023,Fund4,439,7302.91445669672
AMAZON,01/31/2024,Fund5,871,7023.286700828072
FACEBOOK,05/25/2024,Fund3,174,2135.34331405252
APPLE,11/19/2023,Fund5,832,3049.334435047933
FACEBOOK,11/05/2023,Fund3,540,9034.467480217205
